customer_id,order_month,cohort_month
2113,2022-03-01,2020-02-01
7615,2024-01-01,2024-01-01
5033,2020-02-01,2020-02-01
2343,2021-07-01,2021-07-01
9565,2023-03-01,2023-03-01
4346,2023-04-01,2023-04-01
4910,2023-07-01,2023-07-01
5915,2021-09-01,2021-09-01
1152,2024-10-01,2021-09-01
2638,2021-09-01,2021-09-01
9288,2024-04-01,2024-04-01
2127,2020-10-01,2020-10-01
5669,2020-08-01,2020-08-01
5956,2024-09-01,2021-03-01
9666,2020-09-01,2020-08-01
5905,2023-08-01,2023-08-01
3200,2024-10-01,2021-01-01
3546,2020-06-01,2020-06-01
4450,2023-04-01,2021-02-01
5325,2021-08-01,2020-09-01
1832,2022-03-01,2022-01-01
5533,2021-08-01,2021-08-01
3143,2024-09-01,2022-05-01
3647,2022-12-01,2021-06-01
8007,2022-02-01,2022-02-01
2232,2022-09-01,2022-09-01
3442,2023-11-01,2022-03-01
3426,2022-03-01,2022-03-01
6050,2021-11-01,2020-02-01
6862,2021-06-01,2021-06-01
2684,2023-09-01,2021-10-01
7658,2025-03-01,2020-08-01
3532,2025-04-01,2021-08-01
3662,2022-06-01,2022-06-01
7755,2024-07-01,2023-05-01
6442,2024-12-01,2024-05-01
5065,2024-02-01,2024-01-01
2771,2024-08-01,2021-01-01
8711,2023-08-01,2022-02-01
6728,2020-03-01,2020-03-01
4652,2025-02-01,2020-09-01
7528,2024-01-01,2023-09-01
5573,2021-06-01,2020-11-01
7548,2023-04-01,2023-02-01
6425,2023-02-01,2023-02-01
5279,2023-01-01,2020-05-01
1626,2021-09-01,2021-09-01
6663,2022-03-01,2022-03-01
8149,2022-01-01,2022-01-01
2894,2025-02-01,2021-12-01
4114,2024-04-01,2022-04-01
8144,2022-01-01,2020-05-01
4228,2022-10-01,2022-10-01
6409,2021-12-01,2020-08-01
3041,2022-10-01,2022-10-01
9308,2023-05-01,2021-01-01
6344,2024-10-01,2024-10-01
3085,2023-08-01,2023-08-01
7211,2021-06-01,2021-06-01
5930,2020-06-01,2020-06-01
5978,2020-06-01,2020-06-01
6279,2020-09-01,2020-09-01
4501,2023-11-01,2020-02-01
3780,2021-06-01,2021-06-01
9445,2022-01-01,2022-01-01
6491,2023-05-01,2023-05-01
6085,2025-04-01,2020-04-01
3414,2021-04-01,2020-02-01
8784,2023-04-01,2020-10-01
8461,2020-10-01,2020-10-01
4185,2022-06-01,2020-07-01
9099,2020-11-01,2020-11-01
1090,2024-04-01,2024-04-01
7965,2023-04-01,2021-10-01
9486,2022-03-01,2020-01-01
5082,2021-01-01,2021-01-01
8478,2023-01-01,2021-06-01
9702,2023-12-01,2023-12-01
6198,2024-07-01,2020-03-01
9270,2024-05-01,2024-05-01
8305,2023-05-01,2021-10-01
8777,2024-03-01,2023-04-01
5543,2020-01-01,2020-01-01
8939,2021-08-01,2021-08-01
8206,2022-10-01,2021-04-01
4841,2021-12-01,2021-12-01
9849,2020-09-01,2020-09-01
4788,2024-03-01,2021-06-01
4505,2022-03-01,2022-03-01
6421,2022-09-01,2021-05-01
2020,2022-04-01,2020-04-01
7381,2020-08-01,2020-08-01
1320,2023-11-01,2023-11-01
7232,2024-07-01,2021-08-01
5892,2020-12-01,2020-12-01
9818,2023-06-01,2020-08-01
4613,2020-05-01,2020-01-01
8140,2023-11-01,2023-11-01
6507,2023-11-01,2023-11-01
3704,2020-06-01,2020-06-01
9751,2023-09-01,2020-07-01
1444,2021-11-01,2021-11-01
3223,2020-04-01,2020-04-01
1823,2020-09-01,2020-09-01
4467,2020-08-01,2020-08-01
7211,2024-05-01,2021-06-01
5133,2023-06-01,2023-06-01
1317,2022-09-01,2022-09-01
6733,2021-04-01,2020-10-01
1659,2021-11-01,2021-11-01
4266,2022-07-01,2022-07-01
3496,2023-10-01,2022-05-01
2874,2024-03-01,2022-03-01
8619,2023-03-01,2023-03-01
3749,2025-03-01,2021-08-01
2876,2020-04-01,2020-04-01
6096,2021-10-01,2020-01-01
6111,2023-03-01,2023-03-01
7498,2024-06-01,2023-07-01
2245,2021-05-01,2020-06-01
4978,2021-10-01,2021-10-01
2983,2020-06-01,2020-06-01
1672,2025-01-01,2022-01-01
7071,2024-11-01,2020-09-01
6590,2023-02-01,2023-02-01
9031,2021-06-01,2021-06-01
8532,2020-09-01,2020-09-01
3885,2023-12-01,2020-11-01
5425,2023-10-01,2021-12-01
8921,2020-06-01,2020-06-01
5397,2023-06-01,2023-06-01
2419,2024-05-01,2024-05-01
4995,2024-08-01,2023-03-01
7209,2020-03-01,2020-03-01
6325,2021-05-01,2021-05-01
6813,2023-02-01,2023-02-01
5581,2020-04-01,2020-04-01
5526,2020-04-01,2020-04-01
4130,2022-11-01,2020-02-01
7658,2023-02-01,2020-08-01
8800,2023-12-01,2023-12-01
8342,2020-04-01,2020-04-01
5820,2022-09-01,2020-07-01
4986,2021-10-01,2021-10-01
7046,2022-06-01,2020-07-01
6632,2024-10-01,2024-10-01
6419,2024-05-01,2021-01-01
5438,2024-04-01,2024-04-01
2976,2022-05-01,2020-11-01
2958,2020-04-01,2020-04-01
4033,2021-03-01,2021-01-01
8933,2024-05-01,2020-06-01
9595,2020-08-01,2020-08-01
4180,2023-11-01,2020-09-01
3939,2022-06-01,2022-06-01
9751,2020-07-01,2020-07-01
1893,2022-11-01,2022-11-01
3068,2023-02-01,2020-07-01
2680,2024-09-01,2021-10-01
5658,2023-08-01,2023-08-01
6582,2023-12-01,2020-09-01
5136,2021-05-01,2021-05-01
2869,2020-09-01,2020-09-01
9056,2025-02-01,2023-01-01
1878,2023-04-01,2023-04-01
5978,2022-11-01,2020-06-01
2940,2023-05-01,2021-08-01
4697,2020-06-01,2020-06-01
8381,2023-11-01,2023-11-01
8025,2022-01-01,2020-08-01
1986,2024-09-01,2022-10-01
2625,2022-02-01,2022-02-01
4457,2024-07-01,2024-07-01
3573,2021-09-01,2021-09-01
2229,2024-06-01,2020-04-01
8381,2023-11-01,2023-11-01
5771,2024-02-01,2024-02-01
5632,2020-09-01,2020-01-01
2166,2022-10-01,2022-10-01
4241,2023-06-01,2023-06-01
4683,2021-02-01,2020-11-01
3330,2020-03-01,2020-03-01
6039,2024-09-01,2024-09-01
5728,2023-02-01,2023-02-01
5982,2023-07-01,2020-07-01
9199,2024-12-01,2020-10-01
2317,2024-03-01,2024-03-01
6280,2024-07-01,2021-06-01
2496,2024-02-01,2022-03-01
1339,2023-08-01,2023-08-01
5415,2024-12-01,2024-12-01
8708,2021-04-01,2020-06-01
5557,2021-11-01,2021-11-01
8141,2024-12-01,2021-04-01
2494,2024-01-01,2024-01-01
6460,2022-07-01,2022-06-01
3634,2024-12-01,2022-05-01
9117,2020-08-01,2020-08-01
1601,2021-03-01,2020-12-01
5135,2022-06-01,2022-06-01
9431,2022-07-01,2022-07-01
9889,2022-12-01,2022-12-01
4073,2024-07-01,2024-07-01
9167,2022-12-01,2022-12-01
4335,2021-11-01,2020-03-01
5719,2022-01-01,2021-01-01
8941,2021-06-01,2020-05-01
4920,2024-12-01,2021-08-01
1224,2020-09-01,2020-09-01
4681,2023-05-01,2022-01-01
8560,2022-07-01,2022-07-01
3522,2023-06-01,2021-12-01
5781,2021-07-01,2020-01-01
7807,2021-03-01,2021-03-01
4993,2020-12-01,2020-12-01
7284,2021-01-01,2021-01-01
9327,2022-07-01,2022-07-01
2143,2020-10-01,2020-10-01
6568,2024-01-01,2023-03-01
5377,2020-12-01,2020-12-01
5891,2024-09-01,2021-05-01
9022,2022-10-01,2022-10-01
9824,2023-02-01,2020-03-01
9903,2023-12-01,2020-04-01
4090,2021-01-01,2020-02-01
7274,2022-12-01,2020-04-01
1715,2021-09-01,2021-09-01
7246,2020-01-01,2020-01-01
3492,2020-07-01,2020-07-01
3068,2023-11-01,2020-07-01
6439,2021-11-01,2021-11-01
2633,2024-01-01,2021-03-01
1251,2022-04-01,2022-04-01
3529,2021-09-01,2021-09-01
6546,2023-06-01,2023-03-01
2315,2023-11-01,2020-04-01
9742,2022-11-01,2022-11-01
8994,2023-07-01,2023-07-01
2121,2024-11-01,2024-11-01
5708,2024-10-01,2024-10-01
2480,2021-10-01,2020-02-01
2646,2023-06-01,2022-03-01
5906,2022-05-01,2022-05-01
6314,2020-09-01,2020-02-01
6873,2022-08-01,2020-05-01
5000,2022-08-01,2020-06-01
3950,2022-10-01,2021-07-01
7267,2022-04-01,2020-08-01
9153,2022-03-01,2020-07-01
4804,2023-10-01,2023-10-01
8529,2024-08-01,2020-03-01
8622,2020-01-01,2020-01-01
9955,2021-06-01,2020-05-01
6661,2022-03-01,2022-03-01
7951,2024-01-01,2021-08-01
5949,2023-01-01,2020-08-01
8916,2023-01-01,2022-05-01
6881,2020-08-01,2020-08-01
5837,2021-05-01,2020-10-01
7484,2022-07-01,2021-06-01
1803,2024-06-01,2021-03-01
9138,2023-01-01,2021-02-01
4770,2021-08-01,2021-08-01
4588,2024-05-01,2022-04-01
5106,2022-01-01,2022-01-01
3240,2021-09-01,2021-09-01
1645,2020-10-01,2020-03-01
1546,2020-04-01,2020-04-01
3153,2020-06-01,2020-06-01
6352,2023-10-01,2023-10-01
4289,2020-02-01,2020-02-01
6994,2021-04-01,2021-04-01
3695,2023-07-01,2023-07-01
5835,2023-06-01,2023-04-01
2886,2024-03-01,2023-09-01
3306,2022-12-01,2020-08-01
7511,2022-02-01,2022-02-01
6992,2020-09-01,2020-09-01
1228,2022-12-01,2022-12-01
8451,2023-10-01,2020-01-01
5295,2022-06-01,2022-06-01
7086,2025-04-01,2025-04-01
8724,2020-01-01,2020-01-01
6374,2021-10-01,2021-10-01
2035,2020-04-01,2020-04-01
5951,2021-05-01,2021-05-01
3290,2023-02-01,2022-11-01
5986,2020-01-01,2020-01-01
2592,2020-08-01,2020-08-01
3222,2023-06-01,2021-03-01
9850,2024-11-01,2020-05-01
3531,2020-05-01,2020-05-01
2622,2023-04-01,2021-04-01
7686,2022-01-01,2022-01-01
1536,2022-11-01,2022-11-01
8264,2024-01-01,2020-10-01
6942,2020-09-01,2020-03-01
7018,2020-04-01,2020-04-01
6876,2022-07-01,2020-06-01
4109,2020-11-01,2020-11-01
2501,2021-09-01,2021-09-01
1349,2022-03-01,2021-12-01
4990,2020-06-01,2020-03-01
4362,2021-04-01,2021-04-01
4394,2021-01-01,2020-01-01
6383,2021-01-01,2021-01-01
1046,2024-03-01,2022-01-01
3129,2020-07-01,2020-07-01
2801,2022-01-01,2022-01-01
3159,2020-11-01,2020-05-01
6304,2021-04-01,2021-04-01
1858,2022-10-01,2021-05-01
9619,2025-04-01,2023-02-01
8802,2021-10-01,2020-08-01
9408,2020-12-01,2020-12-01
9254,2021-02-01,2021-02-01
1710,2022-07-01,2020-03-01
9543,2020-10-01,2020-10-01
1510,2024-06-01,2021-03-01
7580,2020-10-01,2020-10-01
9032,2023-01-01,2021-09-01
2204,2020-10-01,2020-10-01
3430,2024-10-01,2020-01-01
9984,2023-03-01,2022-10-01
9692,2022-09-01,2020-02-01
8048,2024-04-01,2024-04-01
2874,2022-03-01,2022-03-01
4522,2024-03-01,2024-03-01
7779,2021-12-01,2020-12-01
7532,2022-03-01,2020-12-01
6120,2024-01-01,2024-01-01
5176,2020-01-01,2020-01-01
8770,2024-11-01,2020-07-01
2527,2020-09-01,2020-09-01
7105,2021-08-01,2020-09-01
1982,2024-07-01,2024-07-01
6400,2020-01-01,2020-01-01
6793,2021-02-01,2021-02-01
1842,2022-08-01,2020-04-01
6119,2022-02-01,2022-02-01
9313,2024-06-01,2022-06-01
8900,2022-08-01,2020-12-01
6736,2023-07-01,2023-07-01
2882,2020-03-01,2020-02-01
4705,2022-01-01,2022-01-01
1430,2022-04-01,2021-06-01
5381,2020-05-01,2020-05-01
6062,2020-07-01,2020-07-01
1100,2024-06-01,2022-02-01
7566,2021-11-01,2021-03-01
1502,2023-01-01,2023-01-01
4524,2023-05-01,2022-10-01
6585,2024-10-01,2024-10-01
6314,2023-07-01,2020-02-01
2391,2023-12-01,2022-08-01
3579,2022-11-01,2020-07-01
2336,2020-02-01,2020-02-01
7947,2021-12-01,2021-12-01
7785,2024-07-01,2020-05-01
2864,2023-09-01,2023-09-01
5640,2020-06-01,2020-06-01
8972,2024-04-01,2021-11-01
1744,2023-04-01,2023-04-01
1897,2021-07-01,2020-01-01
4460,2023-04-01,2020-10-01
5742,2023-08-01,2020-03-01
9149,2023-07-01,2023-07-01
3116,2022-04-01,2022-04-01
4770,2022-12-01,2021-08-01
6802,2020-11-01,2020-11-01
1693,2020-12-01,2020-12-01
2275,2023-08-01,2022-01-01
8033,2025-04-01,2021-06-01
7843,2022-01-01,2022-01-01
1341,2023-12-01,2021-01-01
8538,2022-07-01,2020-07-01
2443,2022-06-01,2022-06-01
4986,2023-01-01,2021-10-01
9584,2023-11-01,2023-01-01
6562,2022-07-01,2022-07-01
2251,2020-10-01,2020-03-01
9693,2023-02-01,2020-09-01
6752,2020-04-01,2020-04-01
3419,2022-05-01,2022-05-01
5193,2022-07-01,2020-02-01
3504,2020-11-01,2020-11-01
2234,2024-02-01,2021-08-01
9095,2023-03-01,2021-11-01
8354,2022-05-01,2020-04-01
6295,2022-09-01,2021-09-01
6179,2024-03-01,2022-09-01
8682,2023-07-01,2023-07-01
5500,2020-01-01,2020-01-01
9312,2022-11-01,2022-11-01
8404,2024-09-01,2020-01-01
5703,2025-03-01,2020-01-01
9307,2022-06-01,2022-06-01
1672,2022-04-01,2022-01-01
4084,2025-01-01,2022-11-01
9214,2021-07-01,2020-05-01
8381,2024-08-01,2023-11-01
2381,2021-09-01,2021-09-01
1641,2020-06-01,2020-06-01
8199,2023-12-01,2023-05-01
3600,2022-02-01,2022-02-01
7347,2021-05-01,2020-05-01
1857,2025-01-01,2021-11-01
6482,2025-01-01,2020-06-01
7333,2022-03-01,2022-03-01
3463,2021-07-01,2021-07-01
3317,2023-02-01,2020-03-01
7421,2021-02-01,2021-02-01
2388,2023-03-01,2022-10-01
6381,2024-10-01,2020-02-01
9624,2024-01-01,2024-01-01
7937,2023-01-01,2023-01-01
6940,2024-09-01,2021-01-01
6598,2021-12-01,2020-10-01
4145,2025-02-01,2022-08-01
3538,2023-02-01,2023-02-01
9317,2020-06-01,2020-06-01
9626,2021-07-01,2021-07-01
3147,2024-12-01,2022-06-01
3658,2022-07-01,2020-03-01
3712,2020-10-01,2020-10-01
7731,2021-10-01,2021-10-01
4891,2023-09-01,2022-07-01
5668,2020-08-01,2020-08-01
4833,2021-10-01,2021-10-01
8684,2021-12-01,2021-10-01
7026,2021-09-01,2021-09-01
8218,2021-02-01,2020-08-01
7256,2022-07-01,2022-07-01
3655,2024-11-01,2021-01-01
3267,2020-09-01,2020-09-01
8873,2022-01-01,2022-01-01
2680,2021-10-01,2021-10-01
3042,2021-03-01,2020-03-01
5469,2022-04-01,2022-04-01
3414,2020-02-01,2020-02-01
4637,2023-02-01,2022-04-01
1436,2020-07-01,2020-07-01
9224,2021-02-01,2020-02-01
2337,2022-03-01,2022-03-01
6221,2024-05-01,2024-05-01
6493,2024-06-01,2021-02-01
1627,2021-06-01,2021-05-01
3273,2022-09-01,2020-03-01
8349,2023-12-01,2020-09-01
1311,2023-12-01,2023-12-01
9991,2024-06-01,2022-08-01
9647,2020-06-01,2020-02-01
4893,2023-05-01,2021-04-01
4906,2023-06-01,2021-02-01
8489,2020-09-01,2020-09-01
9782,2023-12-01,2020-01-01
4963,2020-09-01,2020-02-01
8032,2025-04-01,2020-04-01
4941,2025-04-01,2020-10-01
2402,2024-06-01,2020-07-01
2108,2022-06-01,2021-11-01
9312,2025-01-01,2022-11-01
1333,2020-10-01,2020-10-01
1713,2024-08-01,2024-08-01
5155,2025-02-01,2024-03-01
2106,2023-06-01,2021-07-01
2698,2021-05-01,2021-05-01
6447,2020-01-01,2020-01-01
9945,2020-04-01,2020-04-01
3868,2023-02-01,2020-03-01
8612,2024-01-01,2023-04-01
3986,2020-02-01,2020-02-01
8498,2021-03-01,2020-03-01
1717,2022-09-01,2021-10-01
6170,2023-09-01,2022-08-01
7524,2022-08-01,2020-05-01
8756,2023-02-01,2020-07-01
4131,2025-03-01,2023-08-01
6438,2021-07-01,2021-07-01
8159,2023-09-01,2021-02-01
8204,2022-01-01,2022-01-01
6554,2021-02-01,2021-02-01
9151,2024-06-01,2024-06-01
5369,2025-02-01,2025-02-01
7955,2020-08-01,2020-08-01
3956,2020-08-01,2020-07-01
2680,2023-09-01,2021-10-01
5843,2025-03-01,2020-12-01
7981,2022-09-01,2021-05-01
6759,2021-05-01,2020-07-01
6776,2022-12-01,2022-12-01
5498,2022-03-01,2021-04-01
2229,2020-12-01,2020-04-01
6952,2024-04-01,2022-01-01
3621,2022-03-01,2020-12-01
8179,2020-05-01,2020-05-01
4866,2022-09-01,2021-06-01
6933,2023-12-01,2023-12-01
1530,2022-08-01,2022-03-01
8371,2021-02-01,2021-02-01
8273,2020-12-01,2020-12-01
3255,2022-02-01,2020-02-01
6150,2023-12-01,2022-07-01
2858,2023-10-01,2023-10-01
9176,2025-03-01,2025-03-01
2929,2021-01-01,2020-03-01
8311,2021-06-01,2021-06-01
5678,2022-04-01,2020-09-01
4279,2021-09-01,2020-08-01
8406,2023-12-01,2020-09-01
8292,2025-01-01,2020-07-01
6236,2020-08-01,2020-08-01
2063,2022-11-01,2020-09-01
5914,2023-09-01,2023-09-01
3852,2024-12-01,2023-12-01
4673,2020-09-01,2020-09-01
3275,2022-11-01,2022-11-01
1430,2021-06-01,2021-06-01
7044,2020-02-01,2020-02-01
3126,2023-12-01,2022-01-01
2077,2025-02-01,2022-03-01
8842,2023-05-01,2023-05-01
2208,2021-07-01,2021-07-01
2215,2023-04-01,2023-04-01
9476,2021-11-01,2020-09-01
3981,2020-08-01,2020-01-01
8088,2022-01-01,2021-07-01
3034,2022-07-01,2022-07-01
3697,2020-09-01,2020-09-01
4694,2025-02-01,2021-03-01
5653,2024-06-01,2024-06-01
4216,2020-03-01,2020-03-01
5496,2025-03-01,2022-11-01
9740,2023-06-01,2020-05-01
3762,2020-07-01,2020-07-01
3526,2021-09-01,2020-10-01
6531,2022-08-01,2022-08-01
1674,2020-10-01,2020-10-01
2330,2021-12-01,2021-12-01
5336,2022-06-01,2020-11-01
7825,2022-08-01,2022-08-01
9159,2020-04-01,2020-04-01
5745,2022-06-01,2020-02-01
8912,2022-06-01,2022-06-01
7653,2023-05-01,2021-01-01
1981,2021-10-01,2020-04-01
8933,2022-12-01,2020-06-01
3353,2024-12-01,2022-07-01
6231,2021-02-01,2020-04-01
7532,2021-11-01,2020-12-01
9437,2023-09-01,2022-10-01
4960,2023-06-01,2023-06-01
8366,2025-02-01,2021-11-01
1829,2021-08-01,2021-08-01
7850,2024-05-01,2021-12-01
6364,2022-10-01,2020-02-01
6123,2020-06-01,2020-06-01
9163,2020-12-01,2020-12-01
9171,2020-08-01,2020-08-01
1379,2024-11-01,2021-06-01
9281,2020-12-01,2020-12-01
4524,2022-10-01,2022-10-01
1828,2023-11-01,2020-04-01
8710,2021-11-01,2021-05-01
2761,2022-04-01,2022-02-01
6992,2024-05-01,2020-09-01
1741,2021-09-01,2021-09-01
4189,2022-03-01,2022-03-01
2204,2023-01-01,2020-10-01
5582,2021-06-01,2020-11-01
2946,2025-04-01,2023-10-01
7453,2024-03-01,2020-05-01
6990,2021-04-01,2020-03-01
9341,2021-02-01,2021-02-01
1742,2024-08-01,2024-08-01
6456,2022-10-01,2022-10-01
8487,2021-12-01,2021-12-01
3290,2025-02-01,2022-11-01
6218,2024-05-01,2024-05-01
5902,2023-08-01,2022-02-01
9351,2024-08-01,2024-08-01
5911,2023-11-01,2021-07-01
7035,2024-09-01,2024-09-01
7824,2023-05-01,2023-05-01
1436,2025-01-01,2020-07-01
4728,2020-10-01,2020-10-01
8871,2022-08-01,2020-11-01
7229,2021-03-01,2021-03-01
4968,2021-08-01,2021-08-01
2800,2020-02-01,2020-02-01
6139,2022-06-01,2022-06-01
4340,2023-08-01,2023-02-01
8726,2024-04-01,2024-04-01
2020,2020-04-01,2020-04-01
4397,2020-11-01,2020-11-01
8837,2024-04-01,2020-08-01
3837,2025-03-01,2024-10-01
6608,2021-08-01,2021-08-01
5331,2023-07-01,2023-07-01
5038,2023-03-01,2023-03-01
4684,2020-11-01,2020-11-01
5735,2023-08-01,2020-11-01
9011,2024-05-01,2020-02-01
5480,2023-03-01,2020-03-01
9899,2021-08-01,2020-09-01
6654,2021-02-01,2021-02-01
5758,2020-03-01,2020-03-01
2294,2022-11-01,2022-08-01
5201,2024-10-01,2023-12-01
4310,2020-01-01,2020-01-01
5450,2023-03-01,2023-03-01
4920,2021-08-01,2021-08-01
9700,2024-06-01,2020-09-01
1860,2021-06-01,2021-06-01
8739,2023-07-01,2021-09-01
1084,2022-06-01,2022-03-01
7666,2021-12-01,2020-03-01
8822,2024-06-01,2021-01-01
6262,2024-08-01,2023-05-01
2465,2021-03-01,2021-03-01
9767,2024-06-01,2024-06-01
3868,2022-03-01,2020-03-01
1595,2020-02-01,2020-02-01
9116,2023-11-01,2023-11-01
5742,2021-03-01,2020-03-01
5888,2021-03-01,2021-03-01
6489,2022-03-01,2021-09-01
9901,2024-01-01,2024-01-01
9261,2023-09-01,2023-09-01
2845,2022-07-01,2022-07-01
8518,2022-05-01,2022-05-01
4050,2021-09-01,2020-11-01
5833,2022-12-01,2020-01-01
3875,2022-05-01,2020-10-01
7643,2022-09-01,2022-04-01
6372,2020-03-01,2020-03-01
2562,2023-05-01,2023-05-01
8822,2021-04-01,2021-01-01
1111,2024-01-01,2024-01-01
8319,2023-08-01,2021-01-01
5947,2023-11-01,2020-06-01
1187,2020-02-01,2020-02-01
4871,2021-02-01,2021-02-01
8625,2023-12-01,2023-12-01
9233,2021-01-01,2021-01-01
6095,2021-06-01,2021-06-01
5833,2022-12-01,2020-01-01
4590,2021-08-01,2021-08-01
3509,2021-09-01,2021-01-01
7121,2024-09-01,2022-06-01
8714,2022-10-01,2022-10-01
4578,2025-04-01,2021-07-01
2341,2021-11-01,2021-08-01
6927,2020-10-01,2020-02-01
2838,2024-12-01,2023-04-01
9281,2024-01-01,2020-12-01
3455,2023-08-01,2023-08-01
8239,2021-01-01,2020-01-01
9008,2022-02-01,2020-11-01
8298,2022-07-01,2022-07-01
3161,2024-07-01,2024-01-01
1945,2023-07-01,2023-07-01
6049,2023-12-01,2023-12-01
5169,2020-12-01,2020-12-01
4570,2020-12-01,2020-12-01
7941,2022-10-01,2021-10-01
9866,2023-09-01,2021-08-01
8734,2024-10-01,2024-07-01
3948,2022-11-01,2022-01-01
7887,2025-03-01,2025-03-01
8348,2024-01-01,2024-01-01
7154,2022-04-01,2022-04-01
9835,2024-11-01,2020-08-01
2943,2023-12-01,2020-11-01
7439,2023-06-01,2023-04-01
4648,2020-03-01,2020-03-01
5888,2022-10-01,2021-03-01
9920,2025-02-01,2024-08-01
4762,2024-03-01,2021-08-01
3541,2024-04-01,2020-02-01
2848,2022-11-01,2020-02-01
7868,2020-10-01,2020-10-01
4943,2023-12-01,2022-08-01
1550,2022-07-01,2020-09-01
1797,2021-06-01,2021-06-01
7590,2021-10-01,2021-10-01
4559,2021-07-01,2021-04-01
3295,2023-03-01,2023-03-01
4836,2022-03-01,2021-09-01
6224,2022-11-01,2022-11-01
6253,2023-01-01,2023-01-01
9540,2024-08-01,2023-07-01
5508,2023-08-01,2023-08-01
3869,2025-04-01,2020-02-01
9120,2023-10-01,2023-10-01
7244,2023-09-01,2022-10-01
7821,2022-12-01,2022-12-01
7167,2020-02-01,2020-02-01
8758,2023-06-01,2021-02-01
5927,2024-10-01,2024-10-01
8586,2022-11-01,2020-09-01
7761,2020-03-01,2020-03-01
9683,2020-08-01,2020-08-01
5177,2024-02-01,2024-02-01
2295,2021-08-01,2021-08-01
2514,2021-10-01,2021-10-01
1844,2023-01-01,2023-01-01
1647,2022-07-01,2021-12-01
4555,2020-02-01,2020-02-01
5967,2024-03-01,2021-01-01
4470,2020-04-01,2020-04-01
2922,2020-06-01,2020-06-01
4974,2021-10-01,2021-08-01
4350,2024-08-01,2021-09-01
6269,2024-01-01,2020-09-01
8639,2020-02-01,2020-02-01
6053,2022-11-01,2022-11-01
9147,2025-01-01,2022-06-01
8692,2024-07-01,2024-07-01
4328,2020-08-01,2020-08-01
1749,2020-02-01,2020-02-01
3390,2024-10-01,2021-11-01
7841,2023-07-01,2020-04-01
6404,2023-04-01,2020-06-01
5026,2020-06-01,2020-06-01
6530,2021-08-01,2021-08-01
9037,2020-06-01,2020-05-01
6770,2021-12-01,2021-07-01
9954,2020-01-01,2020-01-01
1962,2024-02-01,2021-09-01
1794,2020-08-01,2020-08-01
